Duration,22 m 5 s
Start Time,Tue Dec 22 15:36:50 IST 2015
End Time,Tue Dec 22 15:59:00 IST 2015
Total Users,10
Total Hits,22200
Total Throughput,852285.55 Kb
Average Hits,16.75 hits/s
Average Throughput/s,643.23 kb/s
Testcases passed,100
Testcases failed,0
Testcases error rate,0
Step passed,2000
Step failed,0
Step error rate,0


Testcase name,User Count,User Percentage,Step name,Request name,Duration detail,Response Code,Success Count,Failure Count,Failure Rate(%),Total Step,Total Request,Average Duration (sec),Standard Deviation Duration (sec),Minimum Duration (sec),Duration 85 Percentile (sec),Duration 90 Percentile (sec),Duration 95 Percentile (sec),Maximum Duration (sec),Average Size (Kb),Standard Deviation Size (Kb),Minimum Size (Kb),Size 85 Percentile (Kb),Size 90 Percentile (Kb),Size 95 Percentile (Kb),Maximum Size (Kb)
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/spree/products/41/small/spree_jersey.jpeg?1450727473,,,100,0,0,,100,0.3,0.04,0.26,0.32,0.33,0.35,0.57,2.35,0,2.35,2.35,2.35,2.35,2.35
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.28,0.03,0.25,0.32,0.32,0.35,0.55,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.01,0.03,0,0,0,0,0.24,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,3) http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/t/categories/bags,,,,100,0,0,100,1100,6.89,1.16,5.78,8.09,9.24,10.45,11.18,432.28,0,432.28,432.29,432.29,432.29,432.29
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/spree/products/35/small/spree_bag.jpeg?1450727470,,,100,0,0,,100,0.3,0.07,0.26,0.32,0.36,0.38,0.73,4.27,0,4.27,4.27,4.27,4.27,4.27
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.29,0.06,0.26,0.3,0.3,0.36,0.66,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.01,0.01,0,0.01,0.04,0.06,0.07,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/assets/spree_header-198b754a34f1428c25f64303be8ac2aae84a076433af18ca55b65d7cbf1a0e13.jpg,,,100,0,0,,100,1.15,0.19,0.8,1.14,1.16,1.37,1.65,58.8,0,58.8,58.8,58.8,58.8,58.8
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.29,0.1,0.25,0.29,0.29,0.31,1.22,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.86,0.2,0.15,0.86,0.87,1.09,1.37,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/spree/products/36/small/spree_tote_front.jpeg?1450727471,,,100,0,0,,100,0.32,0.12,0.26,0.58,0.58,0.6,1.01,3.66,0,3.66,3.66,3.66,3.66,3.66
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.29,0.08,0.26,0.34,0.36,0.37,1.01,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.03,0.08,0,0.02,0.22,0.23,0.56,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/spree/products/21/small/ror_tote.jpeg?1450727464,,,100,0,0,,100,0.3,0.05,0.26,0.3,0.31,0.39,0.61,4.54,0,4.54,4.54,4.54,4.54,4.54
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.28,0.03,0.25,0.29,0.3,0.3,0.49,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.01,0.04,0,0.02,0.03,0.04,0.34,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/assets/spree/frontend/all-f790e2c4168dc64d4a5814841899776880357feb9be7f36586c037358c370598.js,,,100,0,0,,100,1.32,0.37,0.96,1.5,1.61,1.62,3.82,181.45,0,181.45,181.45,181.45,181.45,181.45
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.3,0.02,0.27,0.32,0.32,0.4,0.41,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,1.01,0.35,0.67,1.18,1.21,1.21,3.48,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/spree/products/23/small/ror_bag.jpeg?1450727465,,,100,0,0,,100,0.36,0.27,0.26,0.4,0.92,1.44,1.6,4.94,0,4.94,4.94,4.94,4.94,4.94
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.28,0.03,0.26,0.29,0.31,0.34,0.45,0,0,0,0,0,0,0
